cnpj;codCVM;codB3
17161979000182;362581;FPNG12
17162082000173;00478;MEND5
17167396000169;00995;RPAD3
17167412000113;00389;CRIV4
17170150000146;00840;MANM3
17179391000156;01026;SAMI4
17184037000110;00132;BMEB4
17193806000146;00470;BRGE12
17197385000121;00314;CSMB3
17209378000100;362387;LATR11B
17216625000198;362654;JPPC11
17221771000101;00802;LIAS4
17245234000100;00307;CEDO4
17281106000103;01944;CSMG3
17294488000100;342602;STFI11
17311079000174;366013;SAIC11B
17314329000120;02357;MEAL3
17324357000128;335355;BPFF11
17329029000114;356131;RBFF11
17344597000194;02315;BBSE3
17346997000139;02348;RLOG3
17365105000147;340693;TBOF11
17374696000119;359270;RMAI11
17554274000125;380555;VISC11
17590518000125;362271;FIGS11
17709881000117;XPOM;XPOM11
17817528000150;bbsd;BBSD11
17854016000164;375225;FIVN11
17870926000130;471127;VOTS11
18085673000157;362522;NCHB11
18174270000184;02583;DOTZ3
18289873000121;BBVH;BBVH11
18307582000119;463116;HFOF11
18307582000119;463116;HFOF12
18308516000163;435368;XPHT11
18308516000163;435368;XPHT12
18311024000127;433365;SPAF11
18328118000109;02508;PETZ3
18369510000104;364215;FINF11
18483666000103;02593;GRAO3
18593815000197;02423;PRNR3
18979895000113;399302;CPTS11
19107604000160;417092;ORPD11
19249989000108;511226;RSPD11
19378769000176;02409;PARD3
19443985000158;01402;FFTL4
19526748000150;00339;CATA3
19527639000158;00327;FLCL3
19688956000156;08017;GBIO33
19722048000131;504701;LOFT11B
19722048000131;504701;LOFT13B
19796586000170;02608;BRIT3
19853511000184;02438;GNDI3
19872887000136;533645;MINT11
19909560000191;ivbb;IVVB11
20132453000189;383309;BTWR11
20173064000100;BKOI;REON11
20216935000117;397482;BCIA11
20240259000117;402443;FLCI11
20247322000147;02533;ALLD3
20258278000170;02350;OFSA3
20716161000193;378283;BBIM11
20730099000194;01884;SDIA3
20748515000181;425680;BRCO11
20834884000197;382302;TFOF11
21126204000143;407127;BVAR11
21240146000184;02565;AGXY3
21255567000189;00408;CTSA4
21314559000166;02382;MOVI3
21389501000181;02512;PASS3
21407758000119;BOVV;BOVV11
21408063000151;401943;RBRP11
21498349000175;NVRP;NVRP11
21728500000114;02416;PACF3
22003469000117;411371;NVIF11B
22169671000113;496200;SOLR11
22219335000138;404421;BCRI11
22266175000188;02062;FHER3
22459737000100;418986;SHOP11
22531842000102;00123;BPRG4
22543331000100;02379;CXSE3
22677520000176;00315;CTNM4
22770366000182;01413;TOYB4
22862226000134;619078;MTOF11
22957521000174;433209;PRTS11
23120027000113;466573;RDPD11
23373000000132;02471;VAMO3
23536691000148;00358;ITLM5
23648935000184;607347;MCCI11
23648935000184;607347;MCCI12
23740527000158;445827;GTWR11
23740595000117;475130;VSHO11
23876086000116;429937;JTPR11
23964843000103;473741;BRIM11
24030025000104;00293;ICPI3
24070076000151;450812;KINP11
24103743000155;DCDI;DCDI11
24230275000180;02507;PLPL3
24315012000173;00396;ARCE3
24410913000144;08020;NUBR33
24796967000190;571024;LFTT11
24814916000143;448941;NPAR11
24853044000122;504361;VILG11
24956666000186;01849;CLAN4
24960430000113;428779;KNIP11
24962466000136;01530;FRRN3B
24990777000109;02518;GMAT3
25032881000153;443141;TGAR11
25329319000196;01180;WMBY3
25369840000157;02628;COMR3
25869736000121;00206;CAFE4
26091656000150;470538;OUJP11
26195121000120;435112;BREV11
26314437000193;609374;RBRM11
26324298000189;KDIF;KDIF11
26345998000150;02607;TRAD3
26395660000102;430587;TORM13
26462693000128;02506;LAVV3
26499833000132;458538;MALL11
26502794000185;471143;XPLG11
26511274000139;478717;RCRI11B
26614291000100;443735;GGRC11
26614291000100;443735;GGRC12
26642727000166;445819;DAMT11B
26659061000159;02544;ESPA3
26681370000125;522961;TEPP11
26735020000102;02548;POWE3
26813118000122;578037;PNPR11
26846202000142;443158;HBTT11
26990011000150;465550;TCPF11
27093558000115;02201;MILS3
27251974000102;01411;CSTB4
27368600000163;457434;VTLT11
27445482000140;565271;HAAA11
27486542000172;516287;HLOG11
27529279000151;450693;RBRF11
27771547000147;556181;SJAU11
27771586000144;486711;RCFA11
