"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.";"Bens Industriais/Serviços/Serviços Diversos";60;"Não";53,1483296277997;0,467916666666667;0,75298700645168;0,510595238095238;0,687268518518518;0,695454545454545;0,429;2021;NA
"VIA VAREJO S.A.";"Consumo Cíclico/Comércio/Eletrodomésticos";48;"Sim";61,969441177846;0,640191498316498;0,775538524542814;0,663720238095238;0,686534391534391;0,523181818181818;0,429;2021;NA
"WEG S.A.";"Bens Industriais/Máquinas e Equipamentos/Motores , Compressores e Outros";46;"Sim";62,7761637833505;0,552409511784512;0,777764108040376;0,651170634920635;0,674652777777778;0,879813311688312;0,429;2021;NA
"AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A";"Bens Industriais/Máquinas e Equipamentos/Máq. e Equip. Industriais";52;"Sim";70,5600535635862;0,82645202020202;0,708097081059037;0,651994047619047;0,74360119047619;0,874458874458875;NA;2022;0,429
"AES BRASIL ENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";18;"Sim";80,162393883881;0,772106481481482;0,931839532503758;0,783333333333333;0,835119047619048;0,773345238095238;NA;2022;0,714
"ALIANSCE SONAE SHOPPING CENTERS S.A.";"Financeiro e Outros/Exploração de Imóveis";59;"Sim";68,1681734311716;0,541999158249158;0,721452719482611;0,7675;0,729047619047619;0,759090909090909;NA;2022;0,571
"AMBEV S.A.";"Consumo não Cíclico/Bebidas/Cervejas e Refrigerantes";67;"Sim";63,2328037218157;0,673874158249158;0,805157574301863;0,57453869047619;0,599729780801209;0,711668019480519;NA;2022;0,429
"AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A";"Utilidade Pública/Água e Saneamento";7;"Sim";83,3995590673321;0,800673400673401;0,859849922621662;0,88452380952381;0,784983229402872;0,959943181818182;NA;2022;0,714
"AMERICANAS S.A";"Consumo Cíclico/Comércio/Produtos Diversos";12;"Não*";82,0664701678871;0,738636363636364;0,917944095457682;0,917126984126984;0,861462585034013;0,631818181818182;NA;2022;0,857
"AREZZO INDÚSTRIA E COMÉRCIO S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";35;"Sim";75,9289398906247;0,765540824915825;0,825421398247485;0,764484126984127;0,645380952380952;0,840909090909091;NA;2022;0,714
"AZUL S.A.";"Bens Industriais/Transporte/Transporte Aéreo";47;"Sim";73,5955710332735;0,68964436026936;0,790722357234506;0,693898809523809;0,72292328042328;0,804545454545454;NA;2022;0,714
"B3 S.A. - BRASIL, BOLSA, BALCÃO";"Financeiro e Outros/Serviços Financeiros Diversos";42;"Sim";75,274204606451;0,661517255892256;0,772161541658824;0,813305224867725;0,755468253968254;0,8;NA;2022;0,714
"BCO BRADESCO S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";8;"Sim";83,2542029281519;0,749558080808081;0,892088930845724;0,887364904295051;0,856785714285714;0,895454545454545;NA;2022;0,714
"BCO BRASIL S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";21;"Sim";79,3405926042921;0,792781986531987;0,888591702807056;0,796863814970433;0,809107142857143;0,759090909090909;NA;2022;0,714
"BCO BTG PACTUAL S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";37;"Sim";75,8187812279977;0,630050505050505;0,862614172260911;0,845300099206349;0,900343915343915;0,881818181818182;NA;2022;0,429
"BCO PAN S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";9;"Sim";83,2389419557898;0,77924031986532;0,839033156356526;0,901572420634921;0,874126984126984;0,886363636363636;NA;2022;0,714
"BCO SANTANDER (BRASIL) S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";16;"Sim";80,5811590454693;0,700915404040404;0,900558444172575;0,930244660364146;0,911878306878307;0,677272727272727;NA;2022;0,714
"BRASKEM S.A.";"Materiais Básicos/Químicos/Petroquímicos";30;"Não*";76,972243745251;0,700094696969697;0,838218102348537;0,790029761904762;0,793055555555555;0,782936507936508;NA;2022;0,714
"BRF S.A.";"Consumo não Cíclico/Alimentos/Carnes e Derivados";32;"Sim";76,1929973693108;0,66584595959596;0,932912784679089;0,73941369047619;0,747407407407407;0,772;NA;2022;0,714
"CAMIL ALIMENTOS S.A.";"Consumo não Cíclico/Alimentos/Alimentos Diversos";75;"Não";52,940515291475;0,523421717171717;0,642515715296512;0,42125;0,52869992441421;0,631543560606061;NA;2022;0,429
"CCR S.A.";"Bens Industriais/Transporte/Exploração de Rodovias";15;"Sim";80,7420804315486;0,674192328310487;0,865093740421952;0,952176875815799;0,821018851876475;0,862488211357128;NA;2022;0,714
"CENTRAIS ELET BRAS S.A. - ELETROBRAS";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";23;"Sim";78,818583930959;0,749169587477835;0,879076744923425;0,892727314727994;0,758625354872119;0,735516033856164;NA;2022;0,714
"CIA BRASILEIRA DE DISTRIBUICAO";"Consumo não Cíclico/Comércio e Distribuição/Alimentos";26;"Sim";77,9297494285007;0,746212121212121;0,849027836595771;0,813876488095238;0,766342356386999;0,714826163419913;NA;2022;0,7855
"CIA ENERGETICA DE MINAS GERAIS - CEMIG";"Utilidade Pública/Energia Elétrica (Distribuição)";22;"Sim";78,8909334767287;0,707513362403653;0,814712214871701;0,926190476190476;0,791372249507779;0,63666770563011;NA;2022;0,857
"CIA PARANAENSE DE ENERGIA - COPEL";"Utilidade Pública/Energia Elétrica (Distribuição)";14;"Sim";81,1654449022358;0,754823395635826;0,920994553323;0,97750566437185;0,837209038520976;0,665394042282496;NA;2022;0,714
